SAL_CODE_2021,SAL_NAME_2021,IRSD_Score,IRSAD_Score,IER_Score,IEO_Score,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_hhd_inc_weekly,Average_household_size,Tot_P_P,Income_to_Mortgage_Ratio,Rent_to_Income_Ratio,Working_Age_Share,Senior_Share,Diversity_Share,Estimated_Property_Price,Estimated_Gross_Yield_Pct,ROI_Proxy_Score,Realistic_ROI_Target,ROI_Rank,Top20_Flag
21400,Korumburra South,1063.32061,1014.256955,1082.367976,992.885035,46.0,1842.0,812.0,225.0,1875.0,2.8,114.0,4.40757328990228,0.12,0.38596491228070173,0.21052631578947367,0.11403508771929824,300749.9265906349,3.890275263782667,0.17434493350203722,0.14570636270907014,5910,0
21401,Korweinguboora,985.6434167,978.6828019,1044.30616,1011.592893,48.0,1950.0,606.0,175.0,1531.0,2.3,196.0,3.3996051282051285,0.11430437622468975,0.35714285714285715,0.27040816326530615,0.15816326530612246,318383.4727751021,2.8581885613227183,0.1588332109685323,0.14780920010476895,5660,0
21402,Kotta,1026.510351,989.9526047,1057.294638,968.1650325,42.0,1300.0,641.0,170.0,1687.0,2.9,134.0,5.619007692307692,0.1007705986959099,0.3283582089552239,0.19402985074626866,0.04477611940298507,212255.64851673474,4.164789046498818,0.16118290423130252,0.13361333626974806,7362,0
21403,Kotupna,1026.355569,965.814808,1032.644006,974.0148655,46.0,1609.0,659.0,83.0,1375.0,2.4,132.0,3.700279676817899,0.06036363636363636,0.3787878787878788,0.17424242424242425,0.0946969696969697,262707.1834334048,1.642893789044063,0.1441270394259697,0.11419895087007498,9490,0
21404,Koyuga,983.2228824,979.8914919,1036.394062,1006.855001,41.0,1500.0,662.0,115.0,1384.0,2.7,355.0,3.995146666666667,0.08309248554913294,0.3464788732394366,0.17464788732394365,0.03943661971830986,244910.3636731555,2.4417096566728365,0.1517681020930933,0.15838467639161175,4451,0
21405,Krowera,1060.606259,1016.784828,1083.291641,991.1321359,52.0,1459.0,1010.0,225.0,1812.0,2.5,134.0,5.377628512679918,0.12417218543046357,0.3283582089552239,0.23134328358208955,0.05223880597014925,238216.14706608924,4.911505850505601,0.17500998695587305,0.1270874802960439,8113,0
21406,Kulwin (Vic.),995.9715889,976.4560569,1016.462543,997.8858936,59.0,0.0,900.0,150.0,2374.0,2.1,16.0,inf,0.06318449873631002,0.4375,0.25,0.0,0.0,inf,,,,0
21407,Kunat,1071.823665,1043.983372,1044.575876,1034.265119,35.0,850.0,1062.0,120.0,1749.0,3.6,45.0,8.909611764705883,0.0686106346483705,0.4666666666666667,0.2,0.0,138782.5394147881,4.496242846047167,0.1692451752460111,0.15131837687786182,5222,0
21408,Kurraca,996.2727202,975.1877925,996.0877545,1011.838496,55.0,0.0,725.0,300.0,1074.0,1.5,5.0,inf,0.27932960893854747,0.0,0.0,0.0,0.0,inf,,,,0
21410,Kurting,953.0135418,919.2210124,974.8670627,938.820788,59.0,953.0,525.0,230.0,900.0,2.2,61.0,4.089192025183631,0.25555555555555554,0.22950819672131148,0.3442622950819672,0.02459016393442623,155599.71772034478,7.686389265496862,0.14995736073009722,0.09485129681922161,10962,0
21411,Kurunjang,941.2174244,914.8229798,995.6834152,893.0906349,34.0,1517.0,702.0,321.0,1550.0,2.8,10711.0,4.424192485168095,0.20709677419354838,0.4169545327233685,0.11259452898888993,0.2253757819064513,247686.01446145124,6.739177436519279,0.15999799346527685,0.1259868015689022,8248,0
21412,Kyabram,952.1202581,917.8886277,960.5808812,906.5930975,46.0,1235.0,636.0,220.0,1174.0,2.3,7416.0,4.1161295546558705,0.18739352640545145,0.31903991370010787,0.26672060409924486,0.0607470334412082,201642.866090898,5.673396843527803,0.1483763092751891,0.07054636501699917,12108,0
21413,Kyabram South,997.8460349,979.3814064,1016.991865,994.3208192,49.0,1083.0,518.0,175.0,769.0,2.5,69.0,3.074579870729455,0.22756827048114434,0.36231884057971014,0.14492753623188406,0.043478260869565216,176825.28257201824,5.146322894348385,0.15901700554032855,0.15035012647933568,5358,0
